"state_fips1","state_fips2","distance"
1,12,16.6607830997117
1,13,12.1653154278071
1,28,25.1308213464748
1,47,26.0606139459416
4,6,66.6249035758414
4,32,82.752097829284
4,35,58.6865060307258
5,17,81.8867531024358
5,20,62.1248212072299
5,21,73.9420972580016
5,22,26.9284750119513
5,28,18.6020305919758
5,29,19.1841146300234
5,40,26.9348230493805
5,47,20.0364613491218
5,48,16.6840278597282
6,4,66.6249035758414
6,32,23.6935466727221
6,41,46.58325202755
8,20,35.031727456082
8,31,12.1137292557593
8,35,48.9832883891548
8,40,41.7637108975242
8,48,80.2409342902241
8,49,51.3374244061447
8,56,51.4576505809962
9,25,21.8921774782788
9,33,73.3921568169948
9,34,41.5494062840421
9,36,24.0773456722647
9,42,85.8617683330611
9,44,26.511063116268
9,50,80.7210470231875
10,11,78.9879424363732
10,24,19.4260150913535
10,34,12.8859557742491
10,36,98.9309125502247
10,42,20.4350122545427
10,51,61.1603011784383
11,10,78.9879424363732
11,24,7.06345496924105
11,42,65.6266573818024
11,51,5.6036496027684
11,54,51.9818710171465
12,1,16.6607830997117
12,13,14.8718034005106
12,28,80.7943755966905
13,1,12.1653154278071
13,12,14.8718034005106
13,37,7.78612330380477
13,45,11.1688863042997
13,47,12.1943632328369
16,30,47.0176964577373
16,41,35.7650590357881
16,49,27.7930466790692
16,53,14.0495839260011
16,56,24.6843175866459
17,5,81.8867531024358
17,18,16.0168725221464
17,19,6.68555543952856
17,21,11.1113521725886
17,26,69.5729430918488
17,29,14.5668834746102
17,47,54.626313596824
17,55,17.7151320685563
18,17,16.0168725221464
18,21,7.94869139296689
18,26,18.1526419388402
18,39,17.6130760403155
18,55,77.2741898616641
19,17,6.68555543952856
19,20,63.7655117481134
19,27,19.4083145558835
19,29,20.0171261732468
19,31,13.2642199950373
19,46,23.3921592845566
19,55,20.1740856189969
20,5,62.1248212072299
20,8,35.031727456082
20,19,63.7655117481134
20,29,13.4884374765709
20,31,22.8684256648348
20,40,19.6096000314652
20,48,54.8792438240473
21,5,73.9420972580016
21,17,11.1113521725886
21,18,7.94869139296689
21,29,21.0281675598502
21,37,76.3070644165974
21,39,9.63211388390034
21,47,10.9969543430916
21,51,10.5037496153263
21,54,16.5660443963873
22,5,26.9284750119513
22,28,11.0906705970418
22,48,23.2983621240335
23,25,58.1015194381086
23,33,20.3696145797301
23,50,58.0852622227669
24,10,19.4260150913535
24,11,7.06345496924105
24,34,30.2266541334421
24,39,92.0093069517196
24,42,19.985862607325
24,51,11.9272172361458
24,54,14.8337054565629
25,9,21.8921774782788
25,23,58.1015194381086
25,33,23.2596980424336
25,36,24.5263338675229
25,44,10.5256362743486
25,50,28.8424267133959
26,17,69.5729430918488
26,18,18.1526419388402
26,27,99.2495624002117
26,39,19.7104633033999
26,55,18.9967041837571
27,19,19.4083145558835
27,26,99.2495624002117
27,31,86.6690796207159
27,38,20.6479144407463
27,46,20.0899073647611
27,55,17.6147378543128
28,1,25.1308213464748
28,5,18.6020305919758
28,12,80.7943755966905
28,22,11.0906705970418
28,29,89.9520542701181
28,47,16.2488550039182
29,5,19.1841146300234
29,17,14.5668834746102
29,19,20.0171261732468
29,20,13.4884374765709
29,21,21.0281675598502
29,28,89.9520542701181
29,31,20.1127471920416
29,40,26.1965889334591
29,47,18.4675940647138
30,16,47.0176964577373
30,38,14.7065133621142
30,46,46.9031288840559
30,53,88.1247344450603
30,56,51.6034986207128
31,8,12.1137292557593
31,19,13.2642199950373
31,20,22.8684256648348
31,27,86.6690796207159
31,29,20.1127471920416
31,46,21.8202743702377
31,56,35.8095855162535
32,4,82.752097829284
32,6,23.6935466727221
32,49,82.9383531649552
33,9,73.3921568169948
33,23,20.3696145797301
33,25,23.2596980424336
33,36,60.4295996181667
33,44,72.3351643274108
33,50,20.5927825511961
34,9,41.5494062840421
34,10,12.8859557742491
34,24,30.2266541334421
34,36,5.39128645513463
34,42,10.8008679827645
35,4,58.6865060307258
35,8,48.9832883891548
35,40,59.2072847610223
35,48,26.8202378375414
35,49,88.5148329473709
36,9,24.0773456722647
36,10,98.9309125502247
36,25,24.5263338675229
36,33,60.4295996181667
36,34,5.39128645513463
36,39,79.0742212967311
36,42,23.2399046597264
36,44,86.5766840974217
36,50,15.3412316413886
37,13,7.78612330380477
37,21,76.3070644165974
37,45,16.6589499696729
37,47,16.6298769948452
37,51,10.6784060649346
37,54,58.8154587195034
38,27,20.6479144407463
38,30,14.7065133621142
38,46,25.5788866626644
39,18,17.6130760403155
39,21,9.63211388390034
39,24,92.0093069517196
39,26,19.7104633033999
39,36,79.0742212967311
39,42,19.5033095267458
39,51,92.4927138734401
39,54,8.37872917860832
40,5,26.9348230493805
40,8,41.7637108975242
40,20,19.6096000314652
40,29,26.1965889334591
40,35,59.2072847610223
40,48,22.1293616369765
41,6,46.58325202755
41,16,35.7650590357881
41,53,12.1447530008096
42,9,85.8617683330611
42,10,20.4350122545427
42,11,65.6266573818024
42,24,19.985862607325
42,34,10.8008679827645
42,36,23.2399046597264
42,39,19.5033095267458
42,51,51.1983510425088
42,54,17.8527351991611
44,9,26.511063116268
44,25,10.5256362743486
44,33,72.3351643274108
44,36,86.5766840974217
45,13,11.1688863042997
45,37,16.6589499696729
45,47,80.2121836189353
46,19,23.3921592845566
46,27,20.0899073647611
46,30,46.9031288840559
46,31,21.8202743702377
46,38,25.5788866626644
46,56,42.8458530770026
47,1,26.0606139459416
47,5,20.0364613491218
47,13,12.1943632328369
47,17,54.626313596824
47,21,10.9969543430916
47,28,16.2488550039182
47,29,18.4675940647138
47,37,16.6298769948452
47,45,80.2121836189353
47,51,12.7900215856889
47,54,67.1525363955916
48,5,16.6840278597282
48,8,80.2409342902241
48,20,54.8792438240473
48,22,23.2983621240335
48,35,26.8202378375414
48,40,22.1293616369765
49,8,51.3374244061447
49,16,27.7930466790692
49,32,82.9383531649552
49,35,88.5148329473709
49,56,43.6468361313423
50,9,80.7210470231875
50,23,58.0852622227669
50,25,28.8424267133959
50,33,20.5927825511961
50,36,15.3412316413886
51,10,61.1603011784383
51,11,5.6036496027684
51,21,10.5037496153263
51,24,11.9272172361458
51,37,10.6784060649346
51,39,92.4927138734401
51,42,51.1983510425088
51,47,12.7900215856889
51,54,14.9471838877085
53,16,14.0495839260011
53,30,88.1247344450603
53,41,12.1447530008096
54,11,51.9818710171465
54,21,16.5660443963873
54,24,14.8337054565629
54,37,58.8154587195034
54,39,8.37872917860832
54,42,17.8527351991611
54,47,67.1525363955916
54,51,14.9471838877085
55,17,17.7151320685563
55,18,77.2741898616641
55,19,20.1740856189969
55,26,18.9967041837571
55,27,17.6147378543128
56,8,51.4576505809962
56,16,24.6843175866459
56,30,51.6034986207128
56,31,35.8095855162535
56,46,42.8458530770026
56,49,43.6468361313423
